2023-06-21 11:18:42,745 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:17525314
2023-06-21 11:18:42,767 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:42,767 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:43,155 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:44153120
2023-06-21 11:18:43,184 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:43,184 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:48,590 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:17525315
2023-06-21 11:18:48,607 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:48,608 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:48,985 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:44153121
2023-06-21 11:18:49,007 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:49,007 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:49,313 I event_name:TransferSingle,from_block:17512159, to_block:17513159, current_block_height:17525315
2023-06-21 11:18:50,646 I event_name:TransferSingle,from_block:17512159, to_block:17513159, current_block_height:44153122
2023-06-21 11:18:51,742 I event_name:TransferBatch,from_block:17512159, to_block:17513159, current_block_height:17525315
2023-06-21 11:18:52,892 I event_name:TransferBatch,from_block:17512159, to_block:17513159, current_block_height:44153122
2023-06-21 11:18:54,121 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:17525315
2023-06-21 11:18:54,135 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:54,135 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:54,528 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:44153122
2023-06-21 11:18:54,559 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:54,559 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:59,872 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:17525315
2023-06-21 11:18:59,893 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:59,893 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:00,247 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:44153129
2023-06-21 11:19:00,266 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:00,266 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:00,591 I event_name:TransferSingle,from_block:17513160, to_block:17514160, current_block_height:17525316
2023-06-21 11:19:02,509 I event_name:TransferSingle,from_block:17513160, to_block:17514160, current_block_height:44153129
2023-06-21 11:19:04,761 I event_name:TransferBatch,from_block:17513160, to_block:17514160, current_block_height:17525316
2023-06-21 11:19:06,596 I event_name:TransferBatch,from_block:17513160, to_block:17514160, current_block_height:44153132
2023-06-21 11:19:07,938 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:17525316
2023-06-21 11:19:07,955 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:07,955 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:08,343 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:44153132
2023-06-21 11:19:08,368 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:08,368 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:13,772 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:17525317
2023-06-21 11:19:13,788 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:13,788 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:14,109 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:44153135
2023-06-21 11:19:14,115 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:14,115 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:14,424 I event_name:TransferSingle,from_block:17514161, to_block:17515161, current_block_height:17525317
2023-06-21 11:19:15,402 I event_name:TransferSingle,from_block:17514161, to_block:17515161, current_block_height:44153135
2023-06-21 11:19:16,444 I event_name:TransferBatch,from_block:17514161, to_block:17515161, current_block_height:17525317
2023-06-21 11:19:17,368 I event_name:TransferBatch,from_block:17514161, to_block:17515161, current_block_height:44153136
2023-06-21 11:19:18,488 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:17525317
2023-06-21 11:19:18,502 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:18,502 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:18,825 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:44153137
2023-06-21 11:19:18,831 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:18,831 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:24,225 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:17525317
2023-06-21 11:19:24,244 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:24,244 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:25,254 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:44153140
2023-06-21 11:19:25,277 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:25,277 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:25,600 I event_name:TransferSingle,from_block:17515162, to_block:17516162, current_block_height:17525318
2023-06-21 11:19:26,982 I event_name:TransferSingle,from_block:17515162, to_block:17516162, current_block_height:44153141
2023-06-21 11:19:28,103 I event_name:TransferBatch,from_block:17515162, to_block:17516162, current_block_height:17525318
2023-06-21 11:19:29,334 I event_name:TransferBatch,from_block:17515162, to_block:17516162, current_block_height:44153142
2023-06-21 11:19:30,471 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:17525318
2023-06-21 11:19:30,494 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:30,494 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:30,824 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:44153143
2023-06-21 11:19:30,845 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:30,845 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:36,211 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:17525318
